Dossier;Guideline;PDF link;observations (free text);epidermis;dermis;systemic;% of dose systemically avaliable (bioavaliability);conclusion (free text);;homogeneity;pH;concentration (%);composition;purity (%);solubility in receptor fluid;chemical batch nr;additional info (free text);;species/strain;source;age;sex;n animals / group;;dose;duration of exposure;removal of material;enclosed;dosing area;surface area;sampling times;samples;method of detecton;skin disc thickness (um);n of tapestrips;year;GLP;SCCS comment to test;Ref. in dossier;additional information;own comments;;method of analysis;observations;% of dose systemically avaliable (bioavaliability);tabulated data over each cellular compartment;absorption profile (graph);conclusion;;homogeneity;pH;concentration (%);composition;purity (%);solubility in receptor fluid;chemical batch nr;additional info (free text);;species/strain;source;age;weight;sex;n animals / group;;dose;duration of exposure;removal of material;enclosed;dosing area;surface area;sampling times;samples;method of detection;skin disc thickness (um);n of tapestrips;;Additional info (free text);;Year;GLP;SCCS comment to test;Ref. in dossier;additional information;own comments;;;method of analysis;observations;% of dose systemically avaliable (bioavaliability);tabulated data over each cellular compartment;absorption profile (graph);conclusion;;homogeneity and stability;pH;concentration (%);composition;purity (%);chemical batch nr;additional info (free text);;method;;;;;;;;;;additional info (free text);;variables;;;;;;;;;validity Year;GLP;SCCS comment to test;Ref. in dossier;skin integrity and mass balance;control groups;additional information;own comments;;method of analysis;observations (free text);absorption data (bioavaliability %);tabulated data over each cellular compartment;absorption profile (graph);conclusion;;homogeneity and stability;pH;concentration (%);composition;purity (%);solubility in receptor fluid;chemical batch nr;additional info (free text);;method;;;;;;;;additional info (free text);;variables;;;;;;;Year;GLP;SCCS comment to test;Ref. in dossier;additional information;own comments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,2,4-trihydroxybenzene ;428;https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_113.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LSC;"the recovery of radioactivity was 105%. most of the substance was recovered in the skin wash after 30 min of exposure. virtually no penetration of radioactivity into the receptor fluid after 24 hours was observed (0.0019 µgeq/cm2 or 0.0003% of the dose applied). the maximum absorption (dermal delivery), defined as the compound-related radioactivity present in the receptor fluid, the receptor compartment wash and skin membrane was 0.01 ±0.01% of the applied dose or 0.07 ±0.05µg/cm2.
. "; 0.01 ±0.01%;;;;;;;2.78;50% PEG-6 and approx. 47% water;98.1/radiochemical purity: 93.5%;0506382/CFQ13623 (labelled trihydroxybenzene);test substance: 1,2,4-trihydroxybenzene ,radiolabel compound: 1,2,4-trihydroxy[U-14C]-benzene ;;400;human skin from female donor;directly after abdominal surgery, skin kept on ice approx. 1h to be carried to the laboratory, subcutaneous fat was removed and skin was stored in aluminium foil at < -18 °C until use. . after thawing of the skin, skin was dermatomed.;;3;flow-through automated diffusion cells;PBS containing 0.01% sodium azide;100g/L in water;;;membrane integrity: tritiated water, 8 chambers, cells 9mm, stability: “trace of oxygen may cause oxidation”, pump speed of receptor fluid of ca. 1.5ml/h, experiment with 8 samples, thirty minutes after substance application, 1,2,4-trihydroxybenzene was removed by washing the skin with water (10x), 2% sodium dodecylsulfate solution and water (10x) again. post exposure time was 23.5h;;;;;20mg( corresponds to 556µg/cm2 containing 2.78% active dye);;;;30minutes;;20043;yes;"the experiment was conducted with a direct dye formulation containing 2.78% 1,2,4- trihydroxybenzene and not 3%. only 0.0003% of the applied dose was found in the receptor fluid. the dose was slightly below that requested for use and stability in the receptor is not quantified. therefore, the amount considered as being absorbed is the mean + 2SD. this is 0.03% of the applied dose or 0.17 µg/cm2
. ";12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,2,4-trihydroxybenzene ;428;https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_222.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LSC;mass balances showed essentially complete recovery of radiolabel in each experiment. Mean recovery of the applied test from the formulation without and with PTD was 101% and 99.2%, respectively.;the total systemically available dose (epidermis, dermis and receptor fluid) from the formulation containing [14C]-1,2,4-THB alone was 1.13 ± 0.58 μg-eq [14C]-1,2,4-THB/cm2 (mean ± SD). the total systemically available dose of [14C]-1,2,4-THB from the formulation containing 2.5% [14C]-1,2,4-THB and PTD, was 1.94 +1.76 μg-eq [14C]-1,2,4-THB/cm2 (mean ± SD).;;;;;;;;;"99.3% (non-radiolabelled); 98.3% (radio-labelled; 2.00 MBq/mg (6.81 mCi/mmol = 252 MBq/mol))";THB0200312 (non-radiolabelled), 8188CEO008-2 ([14C]-1,2,4-trihydroxybenzene ([14C]-1,2,4-THB);test item 1: 1,2,4-THB formulated at a level of 2.5% w/w in a hair dye vehicle at pH 7/ test item 2:  1,2,4-THB formulated at a level of 2.5% w/w in a hair dye vehicle also containing 2.25% PTD (as the free base) at pH 7;;;human frozen dermatomed; after the exposure period, the skin surface was washed with a mild soap solution and returned to the water bath for the remainder of the 24hours;;10/ 12 replicates per test item ;static glass diffusion cells ;PBS;486 g/L (solubility in water);approx.4.5mL;;"skin integrity checked by electrical resistance at least 10kΩ, mass balance analysis is provided, tape stripping: yes (up to 21 strips).replicates : 12 per each test item; 6 female donors (age 60-84; 2 abdomen, 1 back, 1 buttock, 1 back/ buttock) for test item 1 and 4 female donors (age 63-74; 1 abdomen, 3 back) for test item 2, after exposure time the skin surface was washed with a mild soap solution before reurning to the water bath for the remainder of the 24h,  for both test items, one of the 12 dosed cells indicated membrane damage over the course of the 24 hour run and was therefore rejected and not included in the mean ± SD. 
 ";;32;;2.54;20 (approx.500µg 1,2,4-THB/cm2);24hours;;;30minutes;;2015;yes;the SCCS has noted that the thickness of the dermatomed skin has not been provided. moreover, it is not clear why the dermal absorption of 1,2,4-THB with PTD was nearly double than without PTD, i.e. 1.94 + 1.76 = 3.7 μg-eq (with PTD) vs. 1.13 + 0.58 = 1.71 μg-eq (without PTD). considering the reaction chemistry and formation of dimers (PTD-1,2,4-THB) and trimers (THB-PTD-THB), it could be expected to be lower with PTD than without PTD. based on the results, for calculation of MoS, the SCCS would suggest to take the highest value of the systemically available dose of [14C]-1,2,4-THB with PTD, i.e. 1.94 μg equivalents/cm2 + 1.76 (1SD) = 3.70 μg equivalents/cm2.;13;;;in accordance with the notes of guidance the mean +1SD absorption in an in vitro dermal absorption study is used to determine the systemically available dose for the purposes of the calculation of MoS. the systemically available dose of [14C]-1,2,4-THB alone is therefore 1.13 μg equivalents/cm2 + 0.58 (1SD) or 1.71 μg equivalents/cm2. the systemically available dose of [14C]-1,2,4-THB with PTD is 1.94 μg equivalents/cm2 + 1.76 (1SD) or 3.70 μg equivalents/cm2. total non-absorbed = Σ donor chamber, skin wash (30 min + 24 hrs), flange and stratum corneum. systemically available = Σ epidermis, dermis, receptor fluid. skin wash at 30 minutes = Σ 30 min pipette tips + 30 min sponge swabs + 30 min skin wash. stratum corneum = amount in tape strips. epidermis = tissue remaining after tape stripping and separated from the dermis plus final tape strip if the epidermis tore during tape stripping. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vitamin A;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counting;the vast majority of the applied [3H]-retinol, applied either as hydro-alcoholic gel or as oil in-water emulsion was washed off after 24 h of exposure. the labelled [3H]-retinol penetrated into and through the rat skin. the recovery rates were in an acceptable range of 91.0–99.9%. the amount absorbed into the receptor fluid at 24 h was 6.0% of the applied dose for the gel vehicle and 6.5% for the emulsion. the portion of the penetrated amount into the stratum corneum (SC) was 4.2% and 3.8% for the gel and emulsion at 24 h. at that time, the total amount in the SC and viable skin was 23.1% of the applied dose for the gel and 26.0% for the emulsion and 17.9% and 19.1% after 72hours for the gel or the emulsion respectively. there was an increase in retinol absorbed in the receptor fluid with the gel and emulsion vehicles, when data from 72 h was compared to those from 24 h. ;the bioavailable portion amounted to 24.9% or 28.7% after 24 hours with values of 27.5% and 31.9% after 72 hours of the applied dose level for the gel or emulsion, respectively, under the study conditions. ;;;;;;;hydroalcoholic gel or oil in water emulsion containing 0.3% [3H]-retinol (specific activity: 47 Ci/mmol, radiochemical/chemical) corresponding to about 0.7 μCi/cell;;>99;;;test substance: retinol;;200-320;rat,fuzzy  female;freshly biopsied dorsal skin, rats were euthanised with carbon dioxide and the hair was cut with eletric clipper and the subcutaneous fat was removed. the skin was cleaned with a 10% soap solution and thoroughly rinsed with distilled water.;;3/3-4;flow-through diffusion cell;HBSS plus 4% BSA plus 0.001 % BHT ;;"membrane integrety not checked before prior to experiment, 10 times tape stipping, flow rate of the receptor fluid was approximately 1.5 mL/h. after 24hours, the applied dose of retinol was washed off to remove unabsorbed material; tape stripped to remove the stratum corneum. each tape strip was placed into a scintillation vial. skin discs containing the viable epidermis/dermis were then frozen for later analysis. skin discs were thawed and homogenized on ice and dissolved.";;32;;0.64;2;6h fractions for a total of 24 or 72 h ;;24;;no;the number of donors used in this study is not in accordance with the SCCS notes of guidance. membrane integrity of the rat skin has not been checked prior to the experiment. as this study concerns a scientific paper, not all raw data is available to SCCS. only mean values are presented for the systemically available amount. standard errors are reported instead of standard deviations. ;168;a clear species' difference exists with a much higher in vitro dermal absorption of [3H]- retinol observed in rat versus human skin. no vehicle effect is observed. these results are in contrast to dermal absorption in human skin, where a lower proportion of [3 H]-retinol was found in the viable skin compared to rats. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counting;the vast majority of the applied [3H]-retinol, applied either as hydro-alcoholic gel or as oil in water emulsion was washed off after 24 h of exposure. the labelled [3H]-retinol penetrated into and through the human skin. the recovery rates were in an acceptable range of 87 – 96%. the amount absorbed into the receptor fluid at 24-h was 0.3% of the applied dose for the gel vehicle and 1.3% for the emulsion. the major portion of the penetrated amount was related to the stratum corneum (SC) and amounted between 3.5– 5.9% for the gel and emulsion at 24-h. at that time, the total amount in the SC and viable skin was 5.7% of the applied dose for the gel and 8.9% for the emulsion and 3.8% and 7.8% after 72hours for the gel or emulsion, respevtively. there was an increase in retinol absorbed in the receptor fluid with the gel and emulsion vehicles, when data from 72 h was compared to those from 24 h. ;the bioavailable portion amounted to 2.4% or 4.3% after 24 hours with values of 1.5% and 5.1% after 72 hours of the applied dose level for the gel or emulsion, respectively under the study conditions.;;;;;;;hydroalcoholic gel or oil in water emulsion containing 0.3% [3H]-retinol (specific activity: 47 Ci/mmol, radiochemical/chemical) corresponding to about 0.7 μCi/cell;;>99;;;test substance: retinol;;200-320;human;freshly biopsied skin from abdominal surgery, the subcutaneous fat was removed and the skin was cleaned with a 10% soap solution and thoroughly rinsed with distilled water.;;2/3 ;flow-through diffusion cell;HBSS plus 4% BSA plus 0.001 % BHT ;;"membrane integrity: 3H water test, 10 times tape stipping, pH of the receptor fluid 7.4 with a flow rate of 1.5 mL/h, the applied retinol  dose to each diffusion cell for 24 h, was then washed off to remove any unabsorbed material;  tape stripped to remove the stratum corneum. each tape strip was placed into a scintillation vial. skin discs containing the viable epidermis/dermis were then frozen for later analysis. skin discs were thawed and homogenized on ice and dissolved.";;32;;0.64;2;6h fractions for a total of 24 or 72 h ;;24;;no;the number of donors used in this study is not in accordance with the SCCS  notes of guidance. as this study concerns a scientific paper, not all raw data is available to SCCS. only mean values are presented for the systemically-available amount. standard errors are reported instead of standard deviations.;168;a clear species' difference exists with a much higher in vitro dermal absorption of [3H]- retinol observed in rat versus human skin. no vehicle effect is observed. these results are in contrast to dermal absorption in human skin, where a lower proportion of [3 H]-retinol was found in the viable skin compared to rats. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counting;the labelled [14C]-retinyl palmitate penetrated into and through the human skin. both emulsions (with/without nanocapsules) showed comparable results. the recovery rates were in an acceptable range of 85-90%±5%. the predominant portion of the penetrated amount was related to the SC and amounted to 8-9%, while less was absorbed in the epidermis and dermis and only minor amounts could be detected in the receptor fluid.  the portion penetrated into the skin (SC, epidermis, dermis) was in the range of 0.30-0.33 μg/cm² or 9.1–10.5% with respect to the applied dose.  the bioavailable portion ranged between 0.033–0.036 μg/cm² corresponding to 1.1–1.24% of the applied dose level under the study conditions.;1.1–1.24% ;;;;;;;cream(emulsion) containing 0.15% [14C]-RP corresponding to about 3 μg [14C]-RP/cm² with/without nanocapsules ;;>99;;;test substance: retinyl palmitate;;1.37±0.007 mm;human (female);freshly biopsied skin from abdominal surgery;;3/4;flow-through diffusion cell;isotonic aqueous solution (PBS and 0.25% Tween 80);;the cosmetic formulation was applied on the skin with the aid of a syringe to achieve the required dose, 10-15 times tape stripping to remove the stratum corneum, the application areas were not covered and were allowed exposure to natural day light,  after exposure time of 16 hours, the skin surface was washed and the remaining test preparations were removed from the skin surface by wiping with Kleenex® paper.;;37;;;2;after exosure time;;16h;1997;yes ;"the number of donors and study duration were not in accordance to the SCCS notes of guidance. membrane integrity of the human skin was not checked prior to the experiment. the composition of the nanocapsules was not provided to the SCCS. only mean values were
presented for the systemically available amount. standard errors were reported instead of standard deviations. no effect of the nanocapsules was observed. ";98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counting used for distribution profile and HPLC for analysing skin metabolites;the lipase enzyme quickly metabolises (within the first 5 minutes of application) retinyl palmitate into retinol at the skin surface. within the epidermis, retinol was found in the samples treated with the lipase enzyme, whereas only retinol palmitate was identified in non-lipase treated samples. within the dermis, the 14C radioactivity was below the limit of quantification. no endogenous metabolism of radiolabelled retinoids was observed. no relevant influence of the dermal bioavailability was noted due to the supplementation of a lipase enzyme. the amount penetrated into the dermis and the receptor fluid was generally low and represented only about 1% of the applied dose level. however, a scientifically reliable conclusion on the in vitro dermal bioavailability of retinyl palmitate  using human skin cannot be drawn from this study, since there was no separation of the SC from epidermis and it is generally accepted that the SC portion is not bioavailable. however, with respect to the results of other studies, it is considered very likely that the portion provided as the epidermal amount is primarily related to the SC.;;;;;;;;oil in water emulsion 0.3 % [14 C]-retinyl palmitate ([14 C]-RP) with or without 1% lipase SP644;;≥98;;96129 ;test substance: retinyl palmitate with  specific activity: 2169 MBq/mmol ;;400;human (female);freshly dermatomed human skin ;;4/8;flow-through diffusion cell;HBSS plus 4% BSA;;applied under yellow light conditions,  the skin viability was maintained in the diffusion cells using oxygenated HBSS and the skin viability was confirmed by the MTT test. ;;;;;2;after exosure time;;16h under yellow light conditions;1996;yes ;the number of samples and study duration are not in accordance with the SCCS notes of guidance. membrane integrity of the human skin was not checked. no effect of lipase was observed.the stratum corneum was not separated from the viable epidermis by tape stripping. the bioavailable amount reported is considered to be an underestimation as the portion present in the viable epidermis was not taken into account. ;97, 102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non OECD (modified method of Zesh/Schäfer);https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counting;the dermal bioavailability was more species-, dose- and time-dependent than influenced by differences in the tested cream formulations. a large portion of the test substance was found in the SC. the percutaneous penetration of retinyl palmitate after topical application amounted to about 20 and 50% in rat skin, and approximately 10% in pig skin. in contrast to the procedure of the study author, who included the portion of the SC for its penetration consideration, only the bioavailable fractions were calculated and assessed. the applicants agree to the conclusion that the results obtained from pig skin are more reliable than the data from naked rats.  it is concluded that the highest value of 5.14 μg/cm² corresponding to 8.6% obtained from pig skin and retinyl application of 60 μg/cm² reflects the highest dermal bioavailability obtained under these study conditions;8.6;;;;;;;"unlabelled: retinyl palmitate creams (A+C: 0.5%; B+D: 1.0% retinyl palmitate), labelled: [3H]-retinyl palmitate, 30 μCi/g retinyl palmitate (1 mio IU/g) ";;;;;test substance: retinyl palmitate;;;rat (naked) and pig (domestic) ;intact skin;;;glass diffusion cell ;physiological salt solution;;tape stripping approx. 6 times,  the creams containing the unlabelled retinyl palmitate concentrations were mixed with labelled material to achieve a radio-activity of about 1–5 μCi/5 cm² skin area. a total amount of 6 mg/cm² corresponding to 30 μg retinyl palmitate/cm² for creams A and C, and 60 μg retinyl palmitate/cm² for creams B and D was applied by smearing 30 mg tests creams on an area of 5 cm² for 30 sec with a glass spatula. after exposure the test substance was removed by means of cotton wool.;;32;;5;6 ;after exosure time;;naked rat skin: 6 and 16 h, porcine skin: 16 h;1989;no;the number of donors and replicates used in this study is not known. the exposure time (6 and 16 hours) is not in accordance with the SCCS notes of guidance. membrane integrity of the rat and porcine skin were not checked prior to the experiment. the composition of the tested cream formulations was not provided to the SCCS. only mean values were presented, no standard deviations. retinyl palmitate does not dissolve in the receptor fluid used and therefore the results of this study are not considered valid. a further study which did not meet current testing and assessment requirements predominantly due to an insufficient recovery rate was carried out with retinyl palmitate in vitro on porcine skin, using an O/W preparation with content of 0.7% retinyl palmitate. the influence of different vehicles was additionally investigated. freshly dermatomed porcine skin was put on the glass diffusion cells. a total amount of 20 mg/5 cm² (4 mg/cm²) cream was applied corresponding to a retinyl palmitate concentration of 140 μg/5 cm² or 35 μg/cm². the application areas were covered to avoid impairment from light. after an exposure time of 24 hours, the remaining test preparations were removed from the skin surface. the receptor fluid was taken of the cell and the SC was removed by 15–20 tape strippings. the epidermis was separated from the dermis after heating. analysis was performed by HPLC. the total recovery ranged between about 70 – 80% irrespectively of the vehicle used. however, the usage of aqueous vehicles led to about twice the rate of absorption than oily vehicles. the authors assumed that the observed loss may be due to oxidative metabolism or due to influence of light during further processing of the skin samples. the topical application for 24 hours showed that 96-100% of the retinyl palmitate that was absorbed (10-20%) was limited to the SC and in this skin compartment, it could only be detected in the upper 6–8 strips of the horny layer. minor amounts <1% were found in the epidermis. penetration into the receptor fluid was not observed. SCCS agrees with the applicant that this study cannot be used in safety assessments. ;127, 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counting ;at 24 h, the total, systemic absorption (sum of the urine, faeces, and carcass levels) of retinol applied in the gel vehicle amounted to 4.1% and was similar to the corresponding in vitro value (i.e., receptor fluid level) at 24 h. the total amount in the skin and the total penetration of retinol in vivo at 24 h also agreed with values obtained in the corresponding in vitro studies. in the in vivo studies, there was no significant difference between the levels of absorbed material found in the receptor fluid at 24 h and 72 h. the recovery of radioactivity at the end of the 24-h study was greatly improved when charcoal filter paper was placed on top of the protective patch around the edges of the dosing area for 1 h after dosing the skin. therefore, low recoveries in the in vivo studies appear to be due to loss of retinol from the dosing area. similar results were observed with the in vitro–in vivo comparison when retinol was applied to skin in the oil-in-water emulsion. the 24-h in vivo systemic absorption value closely agreed with the in vitro receptor fluid levels of retinol found at 24 h. in addition, the large skin reservoir (i.e., the levels measured as the total in the skin) observed in the in vitro studies was also seen in the 24-h and 72-h in vivo studies. the total systemic absorption of retinol was less than the total retinol found in the skin. total systemic absorption of retinol in vivo ranged from 19–33% of total penetration no matter which vehicle was used or time point measured (24 h or 72 h). unlike in the in vitro studies, there was no increase in total systemic absorption of retinol when 24-h values were compared to 72-h values in the in vivo studies. thus, the author concluded that this is an indication for an in vivo skin reservoir. however, it has to be taken into consideration that in human studies there was no evidence that topically applied retinol, retinyl palmitate or retinoid metabolites induced detectable changes in the constitutive plasma levels. ;19–33%;;;;;;;hydroalcoholic gel or oil in water emulsion containing 0.3% [3H]-retinol (specific activity: 47 Ci/mmol, radiochemical/chemical) corresponding to about 0.7 μCi/cell ;;>99;;;test substance: retinol;;rat/fuzzy;;;;f;3-9 per group;;2 mg/cm2;24h;the treated skin site was washed with soap and water, the skin dosing site and remaining carcass were each dissolved in concentrated potassium hydroxide, the skin with the patch still intact was cleaned of fat from the underlying tissue. the patch was then removed and the remaining glue on the skin was removed with hexane- soaked cotton swabs.;enclosed and protected with a Stomahesive® patch glued directly to the animal's skin;midscapular region ;3.0 cm2;24 or 72 h(urine, faeces);skin washes, dosed skin sites, carcass, urine, faeces ;liquid scintillation counting;180-330;10;;"test method:explorative percutaneous skin penetration in vivo;  the patch was covered with a screen and the animals were placed in metabolism cages for 24 or 72 h to collect urine and faeces";;;no;;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HPLC;"it was shown that RP rapidly diffuses into the SC and epidermal skin layers within 24 h following the application of RP-containing creams. of the three skin layers, the highest level of RP and retinol per weight unit (ng/mg) at all-time points was found in the epidermis. levels of RP and retinol were lowest in the dermal layer and intermediate in the SC. the levels of RP and retinol in the separated skin layers and in the intact skin decreased with
time, but levels of RP remained higher than control values for a period of up to 18 days. these results indicate that the application of RP to mouse skin can alter the normal physiological levels of RP and retinol in the skin of mice. ";;;;;;;;0.5 or 2% RP in an oil-in-water cream oil;;;;;test substance: retinyl palmitate source: Sigma Chemical Co. St. Louis, MO, USA;;mice/ SKH-1 hairless;Sigma Chemical Co. St. Louis,MO, USA;;;f;3;;75 μL/mouse corresponding to approximately 2 mg cream/cm² ;experiment 1: single dose 2% RP cream for 1, 2, 3, 6 days/ experiment 2: single dose 0.5% RP cream for 1, 2, 3, 6 days/ experiment 3: for 4 consecutive days single dose 2% RP cream for 1, 3, 6, 11, 11 days ;;;dorsal skin;3.0 cm2;1, 2, 3, 6, 11, 18 days post application ;stratum corneum, epidermis, dermis ;;;20;;"test method:explorative percutaneous skin penetration in vivo;in both experiment 1 and 2, three mice were topically exposed to either 2% or 0.5% RP cream and euthanised 1, 2, 3, or 6 days later. skin was collected, flash-frozen and stored at -80°C until use. in experiment 3, mice received daily topical applications of 2% RP cream on the dorsal skin area for 4 consecutive days and were euthanised on days 1, 3, 6, 11 or 18 and the skin was collected and processed as described.  the samples of skin of each mice were separated into SC (by tape stripping) and into epidermis and dermis by heat separation followed by cooling. ";;;no;;166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phenoxyethanol;/;http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HPLC;in rat skin under uncovered conditions with static cells, 64 ± 4.4% of the applied dose was absorbed through the skin after 24 hours. only 0.9% was associated with the stratum corneum and 1% was recovered in skin (epidermis and dermis) at 24 hours. the total recovery was only 67.6%. the low recovery was attributed to evaporative loss from the skin surface under uncovered conditions. when absorption in rat skin was evaluated under covered conditions with static diffusion cells, the recovery was 102.6%, and 98.8±7.0% was found in the receptor fluid. in this experiment, absorption reached a plateau within 4 hours. with flow-through diffusion cells, 43±3.7% of the applied dose was absorbed through the skin after 24 hours. the amounts in the stratum corneum and skin layers (epidermis and dermis) at 24 hours were 2.9% and 1.6%, respectively. recovery in this experiment was only 51% and the low recovery was expected to be due to evaporation. receptor fluid was also analysed for 2-phenoxyacetic acid but none was detectable;64, 102.6, 43;;;;;;;1556nmol/10µl methanol (static condition), 5290nmol/10µlmethanol (flow-thourgh);;;;purchased from Sigma, no batch information available;radiochemical purity >99%, concentration 0.81  and  2.73μCi, vehicle: methanol;;;rat wistar ;dorsal skin;;"7/5; 6/5; 6/5";static and flow-through diffusion cells;50% v/v ethanol/water (static conditions) or modified Earle’s medium (flow through conditions);;"skin from 7 rats (5 cells/rat) for static diffusion cells (uncovered conditions); skin from 6 rats for static diffusion cells (covered conditions); skin from 6 rats for flow-through diffusion cells;";;;;0.79, 0.64;272, 1140µg/cm2;24;;;1997;no;the study description was from a report publicly available. the study is considered to have deficiencies (only 3 human skin donors, poor recovery, only a 6-hour absorption period for human skin experiments). another major shortcoming of the study is the use of methanol as solvent, which may act as an absorption enhancer and may also compete with 2- phenoxyethanol for oxidation by dehydrogenases in skin, thereby potentially confounding the test results. the study is considered of limited value.;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
