Dossier;Guideline;PDF link;;Report: Toxicokinetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OECD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Team comments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;observations;tissue distribution;% of dose systemically avaliable (bioavaliability);% of adminsitred dose in excreta;conclusion;;homogeneity;pH;concentration (%);composition;purity (%);solubility in vehicle;chemical batch nr;additional info;radiolabeling;;species/strain;source;age at start of experiment;sex;feed;n animals / group;;dose levels;administration scheme;IV;oral;dermal;inhalation;i.v.g;samples;sampling time;vehicle;SCCS comment to test;year;GLP;Ref. in dossier;additional info;own comment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;in vivo-toxicokinetics, human: in a human metabolism study, one subject received 200 mg and two others received 500 mg p-aminophenol hydrochloride. route of administration was not indicated. ref: a2. SCCS comment: topically applied p-aminophenol results in systemic exposure only to APAP and/or its metabolites in both humans and animals. consequently, the systemic toxicity of p-aminophenol is mainly related to the toxicity of APAP. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,2,4-trihydroxybenzene ;;https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_222.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"the relative embryotoxicity of the NMP and its metabolites was evaluated using rat whole embryo culture (WEC) and the BALB/c 3T3 cytotoxicity test. the resulting data were evaluated using two strategies; namely, one based on using all endpoints determined in the WEC and the other including endpoints from both the WEC and the cytotoxicity test. on basis of the first analysis, the substance with the highest embryotoxic potential is NMP, followed by 5-HNMP, 2-HMSI and MSI. specific dysmorphogeneses induced by NMP and 5- HNMP were aberrations in the head region of the embryos, abnormal development of the second visceral arches and open neural pores. the second evaluation strategy used only two endpoints of the WEC, i.e. the no observed adverse effect concentration (NOAECWEC) and the lowest concentration leading to dysmorphogenesis in 100% of the cultured embryos (ICMax WEC). in addition to these WEC endpoints the IC50 3T3 from the cytotoxicity test (BALB/c 3T3 fibroblasts) was included in the evaluation scheme. these three endpoints were applied to a prediction model developed during a validation study of the ECVAM allowing the classification of the embryotoxic potential of each compound into three classes (non-, weakly- and strongly embryotoxic). consistent results from both evaluation strategies were observed, whereby NMP and its metabolites revealed a direct embryotoxic potential. hereby, only NMP and 5-HNMP induced specific embryotoxic effects and were classified as weakly embryotoxic, whereas the other two metabolites, 2-HMSI and MSI, were determined to be non-embryotoxic. the authors concluded that the results of this in vitro study support the hypothesis that NMP, the parent substance, is responsible for the embryotoxic effects observed in vivo whereby its main metabolite, 5-HNMP, may be involved to some extent. the latter metabolites (MSI, 2-HMSI) may be considered as detoxification steps. the authors pointed out that according to the general principles of allometry this would mean that in case of a non-inhalation route of exposure, e.g., after dermal exposure, humans should be about four times more sensitive than rats, unless comparative metabolism studies in rats and humans suggest something different. ref.: 60";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,2,4-trihydroxybenzene ;428;https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_222.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"the involvement of cytochrome P450 2E1 (CYP2E1) in the metabolism of NMP was studied with three experimental approaches: in the rat, in vitro in human microsomes, and in human volunteers. NMP was administered dermally (40 mg/kg bw) to OFA rats to examine the influence of CYP2E1 inhibition. CYP2E1 inhibition led to a statistically significant retardation of 5-HNMP excretion in urinary fractions collected during the first 12 h. in the group of fasted rats, a two-fold increase of CYP2E1activity was observed in comparison with the control group. during the first 6 h after dermal administration of NMP to fasted rats, about 33% of the dose was excreted in urine versus 22% in controls. in vitro, NMP (15 mM) was incubated (up to 120 min) with human liver microsomes and the formation of 5-HNMP followed michaelis-menten kinetics with Vmax of 1.1 nmol/min per mg protein and Km of 2.4 mM. the formation of 5-HNMP was inhibited by 35% in the presence of a monoclonal antibody against CYP2E1, but not by CYP1A2 antibody. in a dermal application experiment, 12 human volunteers were exposed by means of a dermal patch to 300 mg NMP; five urine fractions were collected during the 48 h following the onset of application in order to measure the major metabolites 5-HNMP and 2-HMSI. before NMP application, a blood sample was collected for the quantification of CYP2E1 mRNA in peripheral blood lymphocytes (PBLs). the mean dermal absorption of NMP was 67.9%. the highest amount of 5-HNMP was excreted in urine in the fraction collected between 6–12 h (12.6% of dose), while 2-HMSI peaked in fractions 12–24 h and 36–48 h (3.3 and 3.2% of dose, respectively). a significant relationship was found between CYP2E1 mRNA content in PBLs and the amount of both the metabolites excreted in urine within 24 h (r2=0.54, P<0.01). it is concluded that CYP2E1 is involved in the first steps of NMP metabolism in the rat and, to a lesser extent, in humans. ref.: 61";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vitamin a;;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"cells: tc-7 (human intestinal epithelial);test substance: hydroxyethyl-2-nitro-p-toluidine; batch: 6718 Fass 10/20; purity: not specified in study but given as 99.8%, hplc 254 nm, submission iii; test concentration: 50 µM; vehicle: hbss buffer with 1% dmso; incubation: 60 min; glp: /; study period: 25 march – 5 april 2004. there is no official guideline for this in vitro method but it was performed according to ECVAM recommendations. two independent experiments were done.  the bioavailability of Hydroxyethyl-2-nitro-p-toluidine across the intestinal barrier was investigated at 370C in shaken 96-well plates for 60 min. the permeability from the apical (pH 6.5) to basolateral (pH 7.4) side of the epithelium was measured by HLPC-MS/MS and the apparent permeability coefficient (Papp) was calculated for the two experiments. 14Cmannitol (~4µM) was used to show the integrity of the cell monolayers; only monolayers with a permeability of <2x 10-6 cm/sec were used. propranolol, vincristine and ranitidine were used as concurrent reference material to show validity of the test system. ranitidine that has 50% absorption in humans is used as the low permeability reference (FDA). recovery for both the reference substances and Hydroxyethyl-2-nitro-p-toluidine was from 83 –100%. The reference substances propranolol (Papp 29.6 x 10-6 cm/sec) and ranitidine (Papp 0.4 x 10-6 cm/sec) respectively with 90% and ~50% absorption in humans indicate the validity of the assay. hydroxyethyl-2-nitro-p-toluidine was rated as having a high permeability with Papp 93.6 x 10-6 cm/sec, which would indicate very good intestinal absorption.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phenoxyethanol;;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_195.pdf;the mean cumulative recovery in the urine after 96 h was 62.2 (low dose) and 72.9% (high dose) while the figures for the faeces were 31.4% and 22.0%, respectively. The mean mass balance (oral) was ca. 98%.. after oral dosing three metabolites were observed in the urine, the largest peak was identified as N,N-diacetyl-toluene-2,5-diamine. following oral dosing of 2.5 and 25 mg/kg toluene-2,5-diamine the AUC values were 17.59 and 174 mgeq x h/l, respectively.;;>90;;;;;7;;;99.3 (radiochemical purity) 98.3 (non-labelled);;3362-259 [ring-U-14C]-toluene-2,5-diamine sulfate CFQ13783, batch 1 [ring-U-14C]- toluene-2,5-diamine sulfate and 2346 (non-labelled);toluene-2,5-diamine sulfate;[ring-U-14C]- toluene-2,5-diamine sulfate;;rat/wistar kyoto, WKY/NR Crl BR (inbred);;;f;;4 in the mass balance groups, 6  in the toxicokinetics groups;;2.5 or 25 mg/kg bw;;;yes;;;;urine and faeces;0-8, 8-24, 24-48, 48-72, 72-96 h intervals;water;the Kyoto strain was used because it is a slow acetylator phenotype.;;yes;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"in vivo animal studies (not regarding results from cats or goats): oral absorption: - rats: 85 – 86 % of radiolabel were detected in urine within 24 hr after single oral doses of [14C]-OPP (ref.: 9; 227; 243). - male b6c3f1 mice: within 24 hr after a single oral dose of [14C]-OPP at 15 or 800 mg/kg bw, 90 % of the radiolabel was found in urine (ref.: 9;159). - dogs: 45 – 57 % absorption in oral single dose studies; 45 – 54 % absorption in oral repeat dose studies (ref.: calEPA, 2007). distribution - f344 rats: radiolabel after single gavage administration of [14C]-OPP and [14C]-SOPP amounted to < 8 % at 24 hr and < 1 % at 7 days. tissues examined were adipose tissue, intestine, liver, kidneys, blood, urinary bladder, stomach, brain. I.e. accumulation of parents and/or metabolites is not expected (ref.: 243). - beagle dogs: after gavage administration of [14C]-OPP, radiolabel was detected in decreasing amounts in the following tissues: liver, lung, kidneys, bile, brain, heart, spleen. the amount of radiolabel in liver, brain, and lung remained the highest 120 hr after dosing (ref.: 223). metabolism: the major metabolite of OPP is the sulfate conjugate of the parent compound (OPP-S). the corresponding glucuronide conjugate (OPP-G) was found at lower levels, except at the high dose of 924 mg/kg (via diet). lower levels of the hydroxylated metabolite 2- phenylhydroquinone (PHQ) were observed as the glucuronide and sulfate conjugates (PHQG and PHQ-S, respectively). low levels of another ring-hydroxylated product (2,4'dihydroxybiphenyl) were seen as the sulfate conjugate (DHB-S). 2-phenyl-1,4- benzoquinone (PBQ) has been found as an oxidative metabolite of OPP. this metabolite has been postulated to be involved in the formation of bladder tumours in rats. an overview on the amounts of OPP metabolites formed in oral animal studies of different duration and administration is given in the table (m. bartels, response to calEPA report). OPP metabolites in free form were only found to a minor extent in urine. a sex difference of urinary metabolites was observed in that male rats produced much more PHQ glucuronidethan females within 24 hr. in a feeding study with SOPP it could be demonstrated thatlevels of free OPP, PHQ and PBQ increased with increasing dose. overall, when combined with information obtained from humans, it can be concluded that metabolism of OPP is quite similar in rats, mice and humans.excretion- rats: the majority of the absorbed OPP is excreted via urine (about 85 %) but excretion also occurs via bile: after an oral dose of [14C]-SOPP a higher amount of radioactivityoccurred in the bile (26%) compared to faeces (4%) of male f344 rats .(ref.: 9; 227; 243)- mice: recovery of radiolabel in the urine was about 90% at 24 hours after a single dose of[14C]-OPP (15 or 800 mg/kg bw); the radiolabel recovered in the faeces was about 9%within 48 hours (only this time point was measured) (ref.: 9) ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
β-arbutin;;http://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_169.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"in vitro studies: hepatic metabolism:with respect to hepatic metabolism in vitro experiments demonstrated that incubation ofOPP with rat liver microsomes produced phenylhydroquinone (PHQ) andphenylbenzoquinone (PBQ). it was proposed that OPP is sequentially oxidized: first to PHQ then via an intermediate PHQ-semiquinone radical (PSQ) to PBQ, with superoxide anion (O.-) as a co-product; further, a redox recycling between PHQ and PBQ in which PBQ was reduced by cytochrome P-450 reductase (with NADPH as a cofactor) was proposed (ref.233). further metabolites identified by incubation with rat liver microsomes or rat hepatocytes were OPP-glucuronide (OPP-G), PHQ-glucuronide (PHQ-G), OPP-sulfate (OPPS), and PHQ-GSH conjugate, the latter formed by a non-enzymatic pathway. sulfation was a more important phase II reaction of OPP than glucuronidation at low concentrations (e.g.7 μM) whereas the reverse was true at the high concentration (e.g.50 μM). the dose dependent shift in the phase II metabolism may have been due to the saturation of phenolsulfotransferase rather than the depletion of substrate (ref. 186; 309; koster et al.,1981).based on the hypothesis that prostaglandin H synthase (PHS) localised in the transitionalepithelium of rat urinary bladder and rat kidney medullary papilla might be responsible for activation of PHQ in bladder and kidney, it could be demonstrated that PHQ was co-oxidisedwith arachidonic acid (ARA) by PHS, with PBQ as a reaction product (ref.: 142).the underlying hypothesis, however, was questioned by additional studies that demonstrated that PHS only poorly oxidised OPP and by studies that did not provide evidence for an ARA-dependent, PHS-catalysed formation of genotoxic species from PHQ(ref. 3). further, OPP, PHQ, and PBQ inhibited the activity of PHS-cyclooxygenase andtherefore, the ARA-mediated PHQ-oxidation. it was argued that considerable inhibition ofPHS-cyclooxygenase could occur in vivo (ref 48). as prostaglandins possess anti-ulcerativeand cytoprotective properties, PHS inhibition might be the cause for reduced cytoprotection.however, it is currently unclear whether sufficient amounts of free OPP or PHQ are presentin the bladder to achieve reduced cytoprotection.nonenzymatic metabolism: it could be further shown, that PHQ can be converted to PBQ by non-enzymatic autoxidationin vitro which is able to address a lot of issues in SOPP/OPP induced bladder tumour formation, i.e. the higher potency of SOPP when compared to OPP and sex- and strainspecific differences in bladder tumour formation (ref.: 144). a pH-dependent/oxygenindependent PHQ autoxidation most probably plays a greater role in body fluids of low oxygen tension such as urine. in this pH-dependent pathway PHQ oxidation occurs via formation of a phenylhydroquinone semichinone radical (PSQ) and formation increases with increasing pH. as sufficient amounts of free PHQ in urine are required for this pathway tooccur, it has been hypothesised that bladder tumour formation in rats is dependent on different factors that favour the formulation of a threshold mechanism:(i) presence of significant amounts of free phenylhydroquinone (PHQ) in urine(ii) an enhanced production of a reactive species by a pH-dependent autoxidation ofPHQ(iii) sufficient residence time of PHQ in the bladder for significant quantities ofreactive species to be formed.predicted rates of PSQ correlated well with data on papillary or nodular hyperplasia in ratbladder. important to note is that SOPP caused higher alkalinity in urine compared to OPP.it was hypothesized that a urinary pH around 6 as observed in mice treated with OPP couldexplain insensitivity of this strain to OPP induced bladder cancer. with respect to sex differences, a demand of higher pH in urine to form sufficient amounts of reactive metabolites has been formulated for the female rat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trisodium nitrilotriacetat;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf;urinary excretion accounted for 54% and excretion via faeces for 27% of the applied dose. 81% - 87% of the administered dose was excreted during the study period while 4.2% - 9.5% remained in the carcass. In urine 2 major metabolites were observed and the largest peak was identified as N,N-diacetyl-toluene-2,5-diamine.;;4.2-9.5%;81-87%;;;;7;;;98.2 (radiochemical purity) and 98.3(non-labelled);;CFQ13783, batch 1 [ring-U-14C]- toluene-2,5-diamine sulfate and 2346 (non-labelled);toluene-2,5-diamine sulfate;[ring-U-14C]- toluene-2,5-diamine sulfate;;rat/wistar kyoto WKY/NR Crl BR (inbred);;;f;;4 animals (mass balance), 6 animals (kinetics);;2.5 mg/kg bw;single application;yes ;;;;;urine and faeces;"0-8, 8-24, 24-48,
48-72, 72-96 h intervals";water;;;yes;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;in labratory animals, dermal absorption of a hair dye formulation in rat. the percutaneous absorption of radio labelled 14C-n,n’-bis-(2-hydroxyethyl)-2-nitropphenylenediamine was studied in rats(sprague dawley rats (him:ofa) 5 males and 5 females in each of 2 experiments) after 30 minutes application of a formulation to the back skin containing [14C]-labelled n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine 1%, water 84.75%, solvents 5%, detergents and emulsifiers 7.5%, ammonia 0.25% and other vehicle constituents 2.5%. (method: 14C ring labelled n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine in a hair dye formulation (without developer), radiochemical purity > 98%, applied to the back skin for 30 minutes and then rinsed off/ test substance: 1% radio labelled n,n’-bis-(2 -hydroxyethyl)-2-nitro-pphenylenediamine in a hair dye formulation) the formulation was spread on shaved dorsal skin until wetted. the mean mass of test substance applied was 1.06-1.08 mg/cm². removed by shampooing and rinsing and the rinsings collected. test area was covered with gauze to prevent licking. the detection limit for radioactivity from the various samples from the cutaneous application experiments was ≤ 0.01% of applied 14C. experiment a: faeces and urine were collected daily for analysis. after 72 hours the animals were sacrificed and the treated skin as well as the carcass were analysed for remaining radioactivity. experiment b: blood was drawn at 35 minutes, 1, 2, 4, 8 and 24 hours, the animals were sacrificed and 13 organs and carcass analysed for remaining radioactivity. mass balance was calculated. further, two experiments were performed with peroral dosing. one animal died before end of study. the mean percutaneous absorption of the test substance was 0.22% of applied 14C equivalent to 2.37 μg/cm2 test substance. n,n’-bis-(2- hydroxyethyl)- 2-nitro-p-phenylenediamine was excreted mainly via urine (67%) and to a lesser extent via faeces (33%). the excretion was fast with 81% eliminated within the first 24 hours. the mass balance in experiment a gave a recovery of 99.4% of 14C doses from the various samples. the blood level after cutaneous application was highest at the first sampling time at 35 minutes (mean 0.000129% ± 0.000061%) and with a half-life of 0.7 hours. after 24 hours the 14C content in the organs was below or near detection limit. the highest concentration of 14C was found in ovaries, thyroids, blood, liver and kidney. there was no measured retention in any tissue except in the treated skin after 24 and 72 hours. an oral dose study in rats found the highest organ concentrations after 24 hours in kidneys, liver, adrenals and thyroid. although the concentrations after cutaneous application are close to the detection limit and conclusions therefore restricted, it seems that the distribution pattern is similar after cutaneous and oral application of test substance.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
toluene-2,5-diamine and its sulfate;/;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf;oral absorption of toluene-2,5-diamine sulfate was rapid with Tmax values of 1 h. AUCs were 8.53 (low dose) and 112 mgeq x h/l (high dose).;;69;;;;;7;;;99.3% (radiochemical purity) and 98.3% (non-labelled toluene-2,5-diamine sulfate);;3362-259 [ring-U-14C]- toluene-2,5-diamine sulfate CFQ13783, batch 1 [ring-U-14C]- toluene-2,5-diamine sulfate and 2346 (non-labelled toluene-2,5-diamine sulfate);toluene-2,5-diamine sulfate;[ring-U-14C]- toluene-2,5-diamine sulfate;;rat/sprague-dawley Crl:CD (outbred);;;f;;6 animals;;2.5, 25 mg/kg bw;;;yes, gavage ;;;;blood;" 0.25, 0.5, 1, 2, 4, 6,
24, 48 and 72 h";water;;;yes;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bioavailability across the intestinal barrier. cells: human intestinal epithelial cell line tc-7, a sub-clone of the caco2 cell line. test substance: hydroxyethyl-p-phenylenediamine sulfate (betoxol II). batch: 36/37. purity: ~99.8%. concentration: 50 µM in hbss buffer containing 1 % dmso.incubation time: 60 min. number of experiments: two independent experiments. glp: not in compliance but QAU checked. study period: 4 pril – 2 may 2005. the bioavailability of hydroxyethyl-p-phenylenediamine sulfate across the intestinal barrier was investigated in human intestinal epithelial (tc-7) cells in vitro. the permeability from the apical (A, pH 6.5) to the basolateral (B, pH 7.4) side was investigated at 37° C in 96- well multiscreen plates with shaking for a 60 min contact time. analysis of the donor (apical) and receiver (basolateral) samples was done by means of HPLC-MS/MS, and the apparent permeability coefficient (Papp) was calculated for two independent experiments. 14C-mannitol (4 µM) was used to demonstrate the integrity of the cell monolayer. only monolayers with a mannitol permeability of < 2.5 x 10^-6 cm/sec were used. propranolol and ranitidine were used to validate the experimental conditions. according to the laboratory’s classification system, a low permeability is considered for test items revealing a Papp < 2 x 10^-6 cm/sec. a Papp of 2 - 20 x 10^-6 cm/sec and a Papp ≥ 20 x 10^-6 cm/sec classify a substance to have a medium or a high permeability, respectively. ranitidine, which has a 50 % absorption in humans, was used as low permeability reference compound, as recommended by fda. the figures for the reference substances propranolol (Papp = 53.1 x 10^-6 cm/sec), a high permeability reference compound with about 100 % absorption in humans, and ranitidine (Papp = 0.17 x 10^-6 cm/sec) revealing an absorption of about 50 % in humans, were well within the typical range of 20 – 60 x 10^-6 cm/sec and < 2 x 10^-6 cm/sec, respectively. hydroxyethyl-p-phenylenediamine sulfate revealed a Papp of 77.5 x 10^-6 cm/sec and thus was classified to be of high permeability, indicating a nearly 100 % absorption from the gastro-intestinal tract. as the absorption from the gastro-intestinal tract is likely to be permeability limited, the high permeability observed in this assay indicates a good absorption hydroxyethyl-p-phenylenediamine sulfate after oral administration. ref.: 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
toluene-2,5-diamine and its sulfate;/;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;species/strain: sprague dawley rats. group size: 3 males and 3 females per group. method: urine and faeces excretion, carcass and organs analysis after topical application and oral administration by gavage. test substance: hydroxyethyl-p-phenylenediamine sulfate (radiolabelled 14C) in commercial formulations with and without hydrogen peroxide 1.47%. reference: hydroxyethyl-p-phenylenediamine sulfate (radiolabelled 14C) in water 4.88%. dose levels: 1.63 mg/cm² for the formulations with or without hydrogen peroxide (total area treated 9 cm²) 1.67 mg/cm² for the aqueous solution (total area treated 9 cm²) 3 mg for the aqueous solution (0.3 %) administered orally by gavage. contact duration: 30 minutes, then washing of the skin and monitoring of the diffusion during 72 hours. analysis: liquid crystal scintillation. glp: in compliance. the experimental variability is very high. the mean percutaneous absorption in vivo calculated from the excretion and residual amounts in the carcass is low: 0.063 ± 0.063% of the dose when the substance is applied without hydrogen peroxide, and 0.077 ± 0.074% of the dose when the substance is applied with hydrogen peroxide. this is corresponding to 1.03 to 1.26 μg/cm². for the aqueous solution, the amount absorbed is 0.124 ± 0.097% of the applied dose (2.07 μg/cm²). the radioactivity was excreted predominantly via urine (75 to 86 %) than via the faeces (14 to 25%). after topical application, the concentrations in the organs were near the detection limit (thyroids, adrenals, brain, testes, bones). after oral administration the test substance is excreted via urine (86 %) and to a less extent via faeces (14%). highest concentrations were obtained in thyroids, liver and adrenal. lowest were detected in the testes, fat and femur. when considering the residual amount of material present in the skin at 72 hours, the total amount absorbed corresponds to 15 μg/cm² for the formulation without hydrogen peroxide or to 35 μg/cm² with hydrogen peroxide. for the aqueous solution, the absorption is equivalent to 7.5 μg/cm². these data show clearly the influence of the formulation on the absorption of the dye. ref.: 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
